1594688892.442603,1594466275.977561,out1,1,"2020-07-14 08:07:12",0
1594689068.575230,1594649843.167382,in,3,"2020-07-14 08:07:08",0,1
1594689161.986827,1594649936.644928,in,2,"2020-07-14 08:07:41",-1,-1
1594689197.015951,1594649972.179749,out2,1,"2020-07-14 08:07:17",0,-1
1594689215.686894,1594649990.603341,out2,1,"2020-07-14 08:07:35",0,-1
1594689231.056362,1594650005.579160,in,2,"2020-07-14 08:07:51",1,1
1594689325.893611,1594650100.217389,in,3,"2020-07-14 08:07:25",-1,-1
1594689329.859217,1594650104.467258,in,3,"2020-07-14 08:07:29",0,1
1594689344.420471,1594466727.760394,out1,1,"2020-07-14 08:07:44",-1,-1
1594689346.324974,1594466729.807246,out1,1,"2020-07-14 08:07:46",0,-1
1594689352.802501,1594466736.010684,out1,1,"2020-07-14 08:07:52",1,1
1594689362.161776,1594650136.651718,in,2,"2020-07-14 08:07:02",-1,-1
1594689398.698826,1594650173.407972,in,2,"2020-07-14 08:07:38",1,1
1594689414.256500,1594650189.161956,out2,1,"2020-07-14 08:07:54",-1,-1
1594689421.593045,1594650196.453409,out2,1,"2020-07-14 08:07:01",1,1
1594689436.161905,1594650211.190003,out2,1,"2020-07-14 08:07:16",0,-1
1594689494.206431,1594650268.799177,in,1,"2020-07-14 08:07:14",1,1
1594689504.489042,1594650279.058752,in,1,"2020-07-14 08:07:24",-1,-1
1594689521.627205,1594650296.261668,in,2,"2020-07-14 08:07:41",1,1
1594689527.544760,1594650302.055271,in,2,"2020-07-14 08:07:47",-1,-1
1594689533.404237,1594650307.961044,in,3,"2020-07-14 08:07:53",1,1
1594689538.815169,1594650313.332887,in,3,"2020-07-14 08:07:58",-1,-1
1594689557.330963,1594466940.801154,out1,1,"2020-07-14 08:07:17",1,1
1594689600.672820,1594466984.553448,out1,1,"2020-07-14 08:07:00",0,-1
1594689601.523655,1594466985.324322,out1,1,"2020-07-14 08:07:01",0,-1
1594689608.905122,1594650383.762038,out2,1,"2020-07-14 08:07:08",-1,-1
1594689865.964857,1594689865.868000,sys,1,"2020-07-14 08:07:25",-1,-1
1594689866.319564,1594689866.317000,sys,1,"2020-07-14 08:07:26",1,1
1594689886.970891,1594689886.667000,sys,1,"2020-07-14 08:07:46",1,1
1594689888.171342,1594689887.867000,sys,1,"2020-07-14 08:07:48",1,1
1594689888.667598,1594689888.666000,sys,1,"2020-07-14 08:07:48",1,1
1594689889.423779,1594689889.387000,sys,1,"2020-07-14 08:07:49",1,1
1594689890.724521,1594689890.421000,sys,1,"2020-07-14 08:07:50",1,1
1594690028.157475,1594690027.906000,sys,1,"2020-07-14 08:07:08",-1,-1
1594690030.767683,1594690030.525000,sys,1,"2020-07-14 08:07:10",1,1
1594690088.889577,1594690088.586000,sys,1,"2020-07-14 08:07:08",-1,-1
1594690088.993287,1594690088.907000,sys,1,"2020-07-14 08:07:08",1,1
1594690112.510909,1594690112.207000,sys,1,"2020-07-14 08:07:32",1,1
1594690116.611549,1594690116.308000,sys,1,"2020-07-14 08:07:36",1,1
1594690132.716652,1594690132.413000,sys,1,"2020-07-14 08:07:52",1,1
1594690153.361650,1594690153.327000,sys,1,"2020-07-14 08:07:13",-1,-1
1594690153.863146,1594690153.686000,sys,1,"2020-07-14 08:07:13",-1,-1
1594690154.471289,1594690154.167000,sys,1,"2020-07-14 08:07:14",-1,-1
1594690155.642236,1594690155.338000,sys,1,"2020-07-14 08:07:15",-1,-1
1594690183.629556,1594690183.627000,sys,1,"2020-07-14 08:07:43",1,1
1594690245.410765,1594467629.177248,out1,1,"2020-07-14 08:07:45",0,-1
1594690267.385826,1594467650.600111,out1,1,"2020-07-14 08:07:07",0,-1
1594690398.708079,1594651173.685772,in,2,"2020-07-14 08:07:18",0,1
1594690406.681012,1594467790.575641,out1,1,"2020-07-14 08:07:26",0,-1
1594690409.463124,1594467792.545523,out1,1,"2020-07-14 08:07:29",0,-1
1594690409.870489,1594651184.506760,in,2,"2020-07-14 08:07:29",1,1
1594690426.171130,1594690425.867000,sys,1,"2020-07-14 08:07:46",1,1
1594690426.281833,1594690425.977000,sys,1,"2020-07-14 08:07:46",-1,-1
1594690469.229366,1594690468.925000,sys,1,"2020-07-14 08:07:29",1,1
1594690469.432537,1594690469.129000,sys,1,"2020-07-14 08:07:29",1,1
1594690473.067608,1594690472.764000,sys,1,"2020-07-14 08:07:33",1,1
1594690519.232598,1594690519.146000,sys,1,"2020-07-14 08:07:19",1,1
1594690523.051109,1594690522.747000,sys,1,"2020-07-14 08:07:23",-1,-1
1594690474.131561,1594690473.672000,sys,1,"2020-07-14 08:07:34",1,1
1594690473.643955,1594690473.341000,sys,1,"2020-07-14 08:07:33",1,1
1594690523.344571,1594690523.041000,sys,1,"2020-07-14 08:07:23",1,1
1594690469.480406,1594690469.286000,sys,1,"2020-07-14 08:07:29",1,1
1594690521.602024,1594690521.299000,sys,1,"2020-07-14 08:07:21",1,1
1594690522.701254,1594690522.397000,sys,1,"2020-07-14 08:07:22",1,1
1594690519.450178,1594690519.254000,sys,1,"2020-07-14 08:07:19",1,1
1594690528.709298,1594690523.245000,sys,1,"2020-07-14 08:07:28",-1,-1
1594690528.718274,1594690523.437000,sys,1,"2020-07-14 08:07:28",1,1
1594690546.505927,1594690546.504000,sys,1,"2020-07-14 08:07:46",-1,-1
1594690547.405483,1594690547.102000,sys,1,"2020-07-14 08:07:47",1,1
1594690548.108425,1594690548.106000,sys,1,"2020-07-14 08:07:48",-1,-1
1594690548.722496,1594690548.419000,sys,1,"2020-07-14 08:07:48",-1,-1
1594690550.190795,1594690549.887000,sys,1,"2020-07-14 08:07:50",-1,-1
1594690550.675583,1594690550.673000,sys,1,"2020-07-14 08:07:50",1,1
1594690556.106294,1594690556.104000,sys,1,"2020-07-14 08:07:56",-1,-1
1594690556.508645,1594690556.205000,sys,1,"2020-07-14 08:07:56",1,1
1594690556.681283,1594690556.377000,sys,1,"2020-07-14 08:07:56",-1,-1
1594690559.431796,1594690559.430000,sys,1,"2020-07-14 08:07:59",1,1
1594690567.836916,1594690567.835000,sys,1,"2020-07-14 08:07:07",1,1
1594690568.361912,1594690568.058000,sys,1,"2020-07-14 08:07:08",1,1
1594690568.561992,1594690568.258000,sys,1,"2020-07-14 08:07:08",1,1
1594690568.614850,1594690568.428000,sys,1,"2020-07-14 08:07:08",1,1
1594690568.731773,1594690568.596000,sys,1,"2020-07-14 08:07:08",1,1
1594690568.899472,1594690568.772000,sys,1,"2020-07-14 08:07:08",1,1
1594690569.075002,1594690568.955000,sys,1,"2020-07-14 08:07:09",1,1
1594690569.259182,1594690569.245000,sys,1,"2020-07-14 08:07:09",1,1
1594690570.047616,1594690569.744000,sys,1,"2020-07-14 08:07:10",1,1
1594690570.130386,1594690569.827000,sys,1,"2020-07-14 08:07:10",1,1
1594690570.212161,1594690569.908000,sys,1,"2020-07-14 08:07:10",1,1
1594690570.298092,1594690569.998000,sys,1,"2020-07-14 08:07:10",1,1
1594690570.301058,1594690570.078000,sys,1,"2020-07-14 08:07:10",1,1
1594690570.382116,1594690570.162000,sys,1,"2020-07-14 08:07:10",1,1
1594690570.465892,1594690570.246000,sys,1,"2020-07-14 08:07:10",1,1
1594690570.551670,1594690570.329000,sys,1,"2020-07-14 08:07:10",1,1
1594690570.631642,1594690570.412000,sys,1,"2020-07-14 08:07:10",1,1
1594690570.716428,1594690570.498000,sys,1,"2020-07-14 08:07:10",1,1
1594690570.801188,1594690570.581000,sys,1,"2020-07-14 08:07:10",1,1
1594690570.927959,1594690570.665000,sys,1,"2020-07-14 08:07:10",1,1
1594690570.969884,1594690570.748000,sys,1,"2020-07-14 08:07:10",1,1
1594690571.051799,1594690570.835000,sys,1,"2020-07-14 08:07:11",1,1
1594690571.138542,1594690570.918000,sys,1,"2020-07-14 08:07:11",1,1
1594690571.222355,1594690571.001000,sys,1,"2020-07-14 08:07:11",1,1
1594690571.305114,1594690571.084000,sys,1,"2020-07-14 08:07:11",1,1
1594690571.387888,1594690571.167000,sys,1,"2020-07-14 08:07:11",1,1
1594690571.469819,1594690571.254000,sys,1,"2020-07-14 08:07:11",1,1
1594690571.557848,1594690571.338000,sys,1,"2020-07-14 08:07:11",1,1
1594690572.812370,1594690572.508000,sys,1,"2020-07-14 08:07:12",1,1
1594690573.031123,1594690572.727000,sys,1,"2020-07-14 08:07:13",1,1
1594690573.195956,1594690572.913000,sys,1,"2020-07-14 08:07:13",1,1
1594690573.216867,1594690573.117000,sys,1,"2020-07-14 08:07:13",1,1
1594690573.527423,1594651348.507911,in,1,"2020-07-14 08:07:13",0,1
1594690574.076249,1594651349.053161,in,1,"2020-07-14 08:07:14",0,1
1594690576.931609,1594651351.370949,in,1,"2020-07-14 08:07:16",1,1
1594690577.435373,1594690577.132000,sys,1,"2020-07-14 08:07:17",1,1
1594690577.643816,1594690577.340000,sys,1,"2020-07-14 08:07:17",1,1
1594690577.685704,1594690577.515000,sys,1,"2020-07-14 08:07:17",1,1
1594690577.818509,1594690577.684000,sys,1,"2020-07-14 08:07:17",1,1
1594690577.988055,1594690577.848000,sys,1,"2020-07-14 08:07:17",1,1
1594690578.151982,1594690578.018000,sys,1,"2020-07-14 08:07:18",1,1
1594690578.321779,1594690578.188000,sys,1,"2020-07-14 08:07:18",1,1
1594690578.490695,1594690578.367000,sys,1,"2020-07-14 08:07:18",1,1
1594690578.670629,1594690578.523000,sys,1,"2020-07-14 08:07:18",1,1
1594690578.992317,1594690578.690000,sys,1,"2020-07-14 08:07:18",1,1
1594690578.994384,1594690578.867000,sys,1,"2020-07-14 08:07:18",1,1
